Depth,Sonic_Velocity,TEMP,R64,Time (s),Amplitude,Instantaneous_freq,ins_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
1978.0,4817.191411034365,109.271,33.14765,0.9,3955.0762,18.738861083984375,18.738861083984375,3955.0762,-3678.219140625,15642628.0
1987.5,4821.07401346324,109.23,24.661499999999997,0.904,6426.996,18.51089859008789,18.51089859008789,6426.996,-514.158984375,41306280.0
1997.0,4824.956615892114,110.282,24.09935,0.908,6921.383,18.14965057373047,18.14965057373047,6921.383,2531.248828125,47905540.0
2007.0,4829.0435658172455,110.893,34.30385,0.912,5734.8594,17.035043716430664,17.035043716430664,5734.8594,4607.662890625,32888612.0
2016.5,4832.92616824612,116.965,23.499349999999996,0.916,3856.1992,14.38318920135498,14.38318920135498,3856.1992,5378.902734375,14870272.0
2026.0,4836.808770674994,117.934,28.56765,0.92,2471.9229,9.299200057983398,9.299200057983398,2471.9229,5082.2720703125,6110402.5
2036.0,4840.895720600125,117.662,40.4225,0.924,1878.6611,3.911675453186035,3.911675453186035,1878.6611,4172.605078125,3529367.8
2045.5,4844.778323029,117.323,30.00215,0.928,1878.6611,1.8048371076583862,1.8048371076583862,1878.6611,3164.0607421875,3529367.8
2055.0,4848.660925457874,118.936,33.07485,0.932,1582.0312,7.785305500030518,7.785305500030518,1582.0312,2333.4951171875,2502823.0
2065.0,4852.747875383005,118.354,35.727000000000004,0.936,395.5078,12.374167442321777,12.374167442321777,395.5078,1641.3568359375,156426.44
2074.5,4856.630477811879,118.965,25.056350000000002,0.94,-2175.291,16.73272132873535,16.73272132873535,2175.291,711.9140625,4731891.0
2084.5,4860.71742773701,120.452,25.61785,0.944,-5438.2266,19.152978897094727,19.152978897094727,5438.2266,-751.4634765625,29574308.0
2094.0,4864.600030165885,119.832,31.687150000000003,0.948,-7910.1484,20.204620361328125,20.204620361328125,7910.1484,-2709.225390625,62570450.0
2104.0,4868.686980091016,120.305,25.90585,0.952,-8107.9023,228.52197265625,228.52197265625,8107.9023,-4647.212109375,65738080.0
2113.5,4872.56958251989,121.687,26.08165,0.956,-5537.1055,21.561256408691406,21.561256408691406,5537.1055,-5833.734765625,30659536.0
2123.5,4876.656532445021,121.495,32.387,0.96,-1483.1533,21.334972381591797,21.334972381591797,1483.1533,-5695.3072265625,2199743.8
2133.0,4880.539134873896,122.116,30.864649999999997,0.964,2471.9229,21.62889289855957,21.62889289855957,2471.9229,-4113.27734375,6110402.5
2143.0,4884.626084799027,121.684,22.10715,0.968,4844.965,22.356618881225586,22.356618881225586,4844.965,-1562.2546875,23473684.0
2152.5,4888.508687227901,122.351,25.339149999999997,0.972,4746.09,23.457860946655273,23.457860946655273,4746.09,1008.54375,22525368.0
2162.5,4892.595637153032,123.545,30.793850000000003,0.976,2669.6768,24.48003387451172,24.48003387451172,2669.6768,2649.9001953125,7127174.0
2172.0,4896.478239581907,123.127,27.913,0.98,494.38477,26.584426879882812,26.584426879882812,494.38477,3045.4078125,244416.3
2182.0,4900.565189507038,123.831,35.90735,0.984,-197.75293,149.11241149902344,149.11241149902344,197.75293,2511.47265625,39106.223
2191.5,4904.447791935912,124.74,27.593850000000003,0.988,593.2617,55.483856201171875,55.483856201171875,593.2617,1661.13203125,351959.47
2201.5,4908.534741861043,125.146,28.631499999999996,0.992,1977.5381,23.03066635131836,23.03066635131836,1977.5381,1107.4216796875,3910657.0
2211.5,4912.621691786174,125.904,33.05415,0.996,2867.4307,18.05713653564453,18.05713653564453,2867.4307,1146.9724609375,8222158.5
2221.0,4916.5042942150485,126.375,29.41735,1.0,3361.8154,15.165931701660156,15.165931701660156,3361.8154,1720.45859375,11301803.0
2231.0,4920.59124414018,125.787,30.674149999999997,1.004,3164.0615,17.198238372802734,17.198238372802734,3164.0615,2392.821484375,10011285.0
2241.0,4924.678194065311,126.397,29.6015,1.008,1878.6611,18.24522590637207,18.24522590637207,1878.6611,2649.9013671875,3529367.8
2250.5,4928.560796494185,127.409,23.727499999999996,1.012,-692.1377,21.172765731811523,21.172765731811523,692.1377,2115.9662109375,479054.6
2260.5,4932.647746419316,128.18,22.363650000000003,1.016,-3262.9375,22.572105407714844,22.572105407714844,3262.9375,889.892578125,10646761.0
2270.5,4936.734696344447,127.895,21.84415,1.02,-3955.0757,19.898351669311523,19.898351669311523,3955.0757,-573.48564453125,15642624.0
2280.5,4940.821646269578,127.782,23.218650000000004,1.024,-3065.1836,234.48495483398438,234.48495483398438,3065.1836,-1819.33466796875,9395350.0
2290.0,4944.704248698452,127.922,19.086850000000002,1.028,-1977.5371,247.14129638671875,247.14129638671875,1977.5371,-2590.57431640625,3910653.0
2300.0,4948.791198623583,129.231,19.479149999999997,1.032,-2570.7988,11.956436157226562,11.956436157226562,2570.7988,-2966.30654296875,6609006.5
2310.0,4952.878148548714,128.891,16.604,1.036,-4449.457,10.015153884887695,10.015153884887695,4449.457,-3203.61044921875,19797668.0
2320.0,4956.9650984738455,130.206,24.22815,1.04,-5932.6133,231.68881225585938,231.68881225585938,5932.6133,-3599.11796875,35195900.0
2330.0,4961.052048398977,130.198,17.35915,1.044,-4943.8438,21.357601165771484,21.357601165771484,4943.8438,-3974.85,24441592.0
2340.0,4965.138998324107,131.327,20.210350000000002,1.048,-1087.6455,22.118566513061523,22.118566513061523,1087.6455,-3796.8716796875,1182972.8
2349.5,4969.021600752982,139.864,24.58335,1.052,4152.828,22.5447940826416,22.5447940826416,4152.828,-2452.1462890625,17245982.0
2359.5,4973.108550678113,140.018,23.49415,1.056,8305.656,22.688892364501953,22.688892364501953,8305.656,98.8763671875,68983930.0
2369.5,4977.195500603244,138.898,29.987000000000005,1.06,9492.18,22.788829803466797,22.788829803466797,9492.18,3183.8349609375,90101470.0
2379.5,4981.282450528374,139.503,22.183000000000003,1.064,7316.8906,23.02313804626465,23.02313804626465,7316.8906,5635.9818359375,53536890.0
2389.5,4985.3694004535055,138.594,20.057350000000003,1.068,3065.1846,23.076351165771484,23.076351165771484,3065.1846,6466.5478515625,9395356.0
2399.5,4989.456350378637,138.884,17.09435,1.072,-1483.1533,24.043384552001953,24.043384552001953,1483.1533,5339.3515625,2199743.8
