Time (s),Depth,Sonic_Velocity,AC,R64,RD,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
1.512,1512.0914030375152,2083.63199036321,146.28564055226167,10.668963539601462,4.489610724237794,-5890.801,25.212081909179688,5890.801,3408.2484375,34701532.0
1.516,1516.5353968463326,2409.800704118795,126.48356027578738,14.436288935797121,8.083898475940764,-8941.395,25.96290397644043,8941.395,-294.540625,79948536.0
1.52,1521.4262044136758,2200.62668765252,138.50600000000003,22.572723994832234,9.92004592299375,-8099.8516,223.12158203125,8099.8516,-3702.78984375,65607596.0
1.524,1525.9125670322967,2514.076524285382,121.23758382077163,22.931927955503937,10.937999999999999,-3471.3662,28.054027557373047,3471.3662,-5385.8755859375,12050383.0
1.528,1530.3640850440433,2072.6844716349337,147.05622856329083,21.369077448679143,9.427999999999999,2419.4365,28.928876876831055,2419.4365,-4796.7953125,5853673.0
1.532,1534.875362962463,2139.097480524949,142.49,22.983246370375518,9.784999999999998,6416.7656,30.585054397583008,6416.7656,-2335.28203125,41174880.0
1.536,1539.1429814098942,2066.861056486065,147.47,24.596999999999998,10.236664678827172,6101.1875,32.6602668762207,6101.1875,673.234375,37224490.0
1.54,1543.382951100821,2161.2757746631123,141.02797489221618,21.180999142541534,7.11366594205593,2103.8574,33.758399963378906,2103.8574,2713.976171875,4426216.0
1.544,1547.634298342266,2414.6081520184225,126.23511889139525,26.196140331543827,12.002,-2103.8584,34.93794250488281,2103.8584,2987.477734375,4426220.0
1.548,1552.1711174503448,2331.6527982448188,130.78526253958736,26.191087113899368,11.781000000000004,-3471.3662,37.414798736572266,3471.3662,1809.3171875,12050383.0
1.552,1556.8537703106608,2338.5172511681085,130.33899999999997,24.730661854869467,12.69,-1472.7012,208.069580078125,1472.7012,231.423828125,2168848.8
1.556,1561.5100606950148,2269.837334497392,134.2828578268849,27.029390288797384,11.781000000000004,946.73535,54.9251823425293,946.73535,-799.4666015625,896307.8
1.56,1566.1101019953792,2405.592977585212,126.70478048733423,26.185626518802515,13.271584745204466,841.54297,72.1002426147461,841.54297,-1051.9294921875,708194.56
1.564,1570.5269352824573,2136.114206420957,142.68900000000002,18.005436869181448,10.592331859273687,-1577.8936,53.19813919067383,1577.8936,-946.7365234375,2489748.0
1.568,1575.4267482895245,2446.454405106931,124.58848080661824,16.120134677697084,9.149175152976172,-3366.1729,207.8783416748047,3366.1729,-925.6978515625,11331120.0
1.572,1580.2442929598576,2372.764014699499,128.45785700988006,29.306245405027983,12.822025685133529,-1577.8936,39.4323844909668,1577.8936,-946.736328125,2489748.0
1.576,1584.8115252376806,2350.0177751038705,129.70266181305647,19.435017191034902,7.120901938658248,2945.4014,38.29756164550781,2945.4014,-547.003125,8675389.0
1.58,1589.5104401712047,2553.148715886816,119.38200000000005,17.313791196575878,8.917,6206.379,37.98853302001953,6206.379,525.9640625,38519140.0
1.584,1594.899497133061,2601.1315032726607,117.17998218502943,14.671321834850806,6.266593383006175,4312.9062,37.797203063964844,4312.9062,1704.1240234375,18601160.0
1.588,1600.1914494188575,2501.7635639847276,121.83570373683536,22.567642320312157,9.952352436537563,-2209.0518,36.514434814453125,2209.0518,1935.5482421875,4879909.5
1.592,1605.2762970330912,2459.542926456763,123.92691844950738,28.008194265098574,10.345,-8205.047,35.00519943237305,8205.047,610.117578125,67322790.0
1.596,1610.064449896692,2352.9048493924756,129.54199999999997,28.627224948350975,9.968000000000002,-8731.012,215.69117736816406,8731.012,-1725.1650390625,76230570.0
1.6,1614.8511147718225,2433.242442418763,125.26566633540529,29.433000000000003,10.247881933566887,-2735.0156,33.808414459228516,2735.0156,-3513.4439453125,7480310.5
1.604,1619.6891334875022,2464.1305490599593,123.69585482415926,29.435,10.155,5470.0273,33.30182647705078,5470.0273,-3282.0197265625,29921200.0
1.608,1624.4348574466771,2451.0888254647894,124.35355246893177,29.08180474513252,9.969742872333347,9993.324,32.99423599243164,9993.324,-841.54453125,99866530.0
1.612,1629.1478020571244,2388.7975422941117,127.61080062635969,29.82140064456286,8.064368763440482,7889.465,32.482242584228516,7889.465,2377.3578125,62243656.0
1.616,1634.363712503535,2572.70881924359,118.47815229905933,31.052160499014594,10.61084924303174,1262.3145,31.714702606201172,1262.3145,4376.023046875,1593437.8
1.62,1639.5131920293782,2524.208754927523,120.75074786153336,30.985213224973204,9.084000000000001,-5154.449,30.809188842773438,5154.449,3892.136328125,26568346.0
1.624,1644.8441200786394,2416.0754627244264,126.15499999999999,30.623971633808065,7.912143484423592,-7784.2734,29.92637825012207,7784.2734,1241.276171875,60594910.0
1.628,1649.7489564301172,2450.8897340848957,124.36300000000004,32.63719736473409,9.167225931199857,-5995.992,220.60784912109375,5995.992,-1956.587109375,35951924.0
1.632,1654.6630728149769,2406.0731168192656,126.67951490183646,32.661,8.917,-1788.2793,28.43256187438965,1788.2793,-3892.1359375,3197942.8
1.636,1659.4560630157819,2397.149845459335,127.15100000000002,31.831634628641993,8.278999999999998,1893.4717,26.837961196899414,1893.4717,-3765.9044921875,3585235.0
1.64,1664.275383999999,2416.0754627244264,126.15499999999999,31.858584880004102,7.940525840042825,3681.751,25.558488845825195,3681.751,-1998.664453125,13555290.0
1.644,1669.536813762346,2735.742366309441,111.414,31.048,6.0379999999999985,3576.5576,23.66295051574707,3576.5576,273.5017578125,12791764.0
1.648,1673.9486565029738,2120.9260137638803,143.7331778036468,31.05043573124563,9.69741829466158,2524.629,20.155895233154297,2524.629,1977.6259765625,6373751.0
1.652,1678.6806048144606,2356.524898912194,129.34300000000002,31.41106048144771,8.035573460279199,1577.8936,14.434600830078125,1577.8936,2650.860546875,2489748.0
1.656,1683.2320959483652,2197.4694495512063,138.70499999999998,31.88370302760911,8.917,1051.9287,10.394309043884277,1051.9287,2482.551953125,1106554.0
1.66,1687.6192860630663,2193.7127948525285,138.94257212616458,27.021099658179363,6.454394130250343,210.38574,13.344813346862793,210.38574,1788.27890625,44262.16
1.664,1692.580542575847,2864.7903185221594,106.39527972596048,24.57189615751865,5.3817371501009506,-1683.0869,17.71781349182129,1683.0869,736.35,2832781.5
1.668,1697.6619335517353,2200.62668765252,138.50600000000003,29.38041388860653,7.374682732682275,-4733.6797,21.768342971801758,4733.6797,-715.31171875,22407724.0
1.672,1702.1565514265792,1814.8063929713353,167.9532522088931,26.940918062595873,6.734055919244799,-7363.5,24.314115524291992,7363.5,-2503.5904296875,54221132.0
1.676,1705.7543199997383,1943.4685302200428,156.83300000000003,18.684875999855198,5.817999999999999,-7153.117,224.27288818359375,7153.117,-4144.599609375,51167084.0
1.68,1709.5067099254543,1664.4186821167825,183.12699999999998,17.319246719491716,6.384,-2735.0156,26.913036346435547,2735.0156,-4733.6798828125,7480310.5
1.684,1713.5455558618435,2423.721939931773,125.75700000000005,18.480289764893307,8.753,4418.0977,27.67510986328125,4418.0977,-3513.44296875,19519586.0
1.688,1718.2407269038506,2117.6723502875843,143.94282680981297,18.992,6.625,10203.711,27.83828353881836,10203.711,-525.96484375,104115720.0
1.692,1722.365570375654,1900.0361555436416,160.41800000000006,26.924152018486936,10.736999999999997,11150.445,27.78339385986328,11150.445,3176.82421875,124332430.0
1.696,1726.4978865691382,2058.80828193393,148.0469502286141,23.793126805851717,9.877944356393078,6627.1523,27.78961944580078,6627.1523,5932.878125,43919148.0
1.7,1730.535329275868,2141.0321819203605,142.3613052589885,29.50249087071566,11.640664528645774,-631.1582,27.290775299072266,631.1582,6353.649609375,398360.7
1.704,1734.9548407884947,2281.443149856829,133.60010712666775,33.4658063684605,10.937999999999999,-6416.7656,26.0443172454834,6416.7656,4186.676953125,41174880.0
1.708,1739.6074878034397,2303.3151718040376,132.33099999999996,33.46907487803456,8.753,-8625.816,24.891000747680664,8625.816,420.771484375,74404710.0
1.712,1744.0583732995776,2197.4694495512063,138.70499999999998,31.847095722871952,9.084000000000001,-7363.5,226.1971435546875,7363.5,-3282.017578125,54221132.0
1.716,1748.5140351646446,2206.968459466505,138.10799999999998,28.622824571404088,6.749,-4207.715,22.421215057373047,4207.715,-5448.991015625,17704864.0
1.72,1752.7344282646673,2036.6027221520635,149.66100000000003,27.016000000000002,6.0379999999999985,-525.96484,22.251537322998047,525.96484,-5427.95234375,276639.03
1.724,1756.7102603117512,2048.8472341064185,148.76719270518768,27.822999999999997,7.392045975998468,2945.4014,23.557056427001953,2945.4014,-3555.5189453125,8675389.0
1.728,1761.0369527009889,2203.1470590075273,138.3499543038989,27.847828379403065,6.473056009397694,5049.258,24.89085578918457,5049.258,-820.5041015625,25495004.0
1.732,1765.2900697578586,2213.8652851844963,137.68685966560946,31.03226302834275,6.7744214199196895,4944.0625,26.286205291748047,4944.0625,1641.0083984375,24443754.0
1.736,1769.3593616294208,1702.118898224892,179.07523960108475,28.629,6.314031576727464,2735.0146,27.350866317749023,2735.0146,3029.554296875,7480305.0
1.74,1772.7918649470553,1657.2062373589092,183.924,28.629,6.974086798751503,-105.19336,27.250362396240234,105.19336,3113.70859375,11065.643
1.744,1776.3125365167552,2060.9681086028254,147.89311559151622,30.54636466255478,11.405781656802548,-1998.665,26.547731399536133,1998.665,2124.8953125,3994662.0
1.748,1780.4147477949778,2080.915384300286,146.47399999999996,32.661,11.98562994759004,-2314.2441,23.700984954833984,2314.2441,652.194921875,5355726.0
1.752,1784.396962728989,2052.7451489278396,148.48416288074364,34.27630372710274,11.130668679628874,-1893.4727,232.77284240722656,1893.4727,-715.312109375,3585238.8
1.756,1788.6836881744712,1963.4241395525612,155.239,31.659829350214988,11.781000000000004,-1577.8936,14.738448143005371,1577.8936,-1577.89375,2489748.0
1.76,1792.6352636940398,1915.4479001645798,159.13007146790486,31.225404357043665,9.849532560124313,-1157.1221,17.552579879760742,1157.1221,-1788.2794921875,1338931.5
1.764,1796.0860839450795,1946.7227815744168,156.5743343410374,31.84409718800228,7.956543399287546,0.0,24.134340286254883,0.0,-1388.546484375,0.0
1.768,1799.805343390897,1646.499567847883,185.11999999999995,31.04967185338868,12.239236365111015,2103.8574,30.317710876464844,2103.8574,-504.926171875,4426216.0
1.772,1803.9567758000314,2258.166556835634,134.97677580002437,29.450941565994395,8.502294235961495,3576.5576,32.598602294921875,3576.5576,589.0798828125,12791764.0
1.776,1808.1686611443004,2009.85143716247,151.653,31.171100751479564,10.345,2735.0146,33.51744842529297,2735.0146,1451.6615234375,7480305.0
1.78,1812.262559713736,2245.9316189520505,135.71642376026085,36.664502388549245,14.185,-631.1582,33.905372619628906,631.1582,1556.854296875,398360.7
1.784,1817.0614609825595,2196.032523706377,138.79684403108106,26.81680343961139,8.434,-4312.9062,33.671016693115234,4312.9062,694.273046875,18601160.0
1.788,1821.034474102129,1949.167381917503,156.42374414802188,29.11440473373708,10.472120241858859,-5364.836,216.2332000732422,5364.836,-799.465625,28781464.0
1.792,1825.430496766741,2374.8120330042775,128.347,32.05164623783799,12.261766314072071,-2524.63,34.1048698425293,2524.63,-2019.703125,6373756.0
