Time (s),Depth,RD,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.856,970.2869856903809,10.44869856903824,-3508.9766,225.07962036132812,3508.9766,-2544.00859375,12312917.0
0.86,975.350660568477,10.647678353489578,438.6211,107.58373260498047,438.6211,-2982.63046875,192388.47
0.864,980.6410134444384,11.432475076676713,1973.7988,55.43387222290039,1973.7988,-2324.697265625,3895881.8
0.868,985.9022348924034,10.657,-1754.4883,25.833026885986328,1754.4883,-1754.488671875,3078229.2
0.872,991.3866241673401,12.06965604183584,-9430.375,24.852771759033203,9430.375,-2456.283984375,88931976.0
0.876,996.7496246772652,12.608504573989949,-16229.016,24.756694793701172,16229.016,-5000.291796875,263380940.0
0.88,1002.1777338386246,10.246566540344544,-16448.328,224.4432830810547,16448.328,-8377.681640625,270547500.0
0.884,1007.7350157293513,10.05970031458701,-8114.508,25.52297019958496,8114.508,-10395.34296875,65845236.0
0.888,1012.8849001365309,8.840849001365342,4824.84,25.845245361328125,4824.84,-9079.47734375,23279080.0
0.892,1018.0426537468142,11.863455012914356,15351.77,26.410493850708008,15351.77,-4123.0484375,235676830.0
0.896,1023.7649330828866,13.456454684197883,17544.879,26.086809158325195,17544.879,2631.73046875,307822800.0
0.9,1029.1887542139318,9.715458581046011,11842.793,26.16835594177246,11842.793,8289.9546875,140251740.0
0.904,1034.9970565126139,15.58594113025228,3289.664,25.097089767456055,3289.664,10570.7890625,10821890.0
0.908,1040.6514461505603,10.771669541487418,-1754.4883,20.89406394958496,1754.4883,9254.9234375,3078229.2
0.912,1046.1031814617727,11.486153968066093,-2631.7324,13.85181713104248,2631.7324,5658.223046875,6926015.5
0.916,1051.9700515099237,13.48531346332647,-1315.8672,6.957913398742676,1315.8672,1886.073828125,1731506.5
0.92,1057.8801481269766,14.748631135242855,-1535.1777,3.46528697013855,1535.1777,-789.5203125,2356770.8
0.924,1063.908985860714,14.778159190533755,-4605.5312,13.694832801818848,4605.5312,-2368.559375,21210918.0
0.928,1069.9391390123549,12.498647713574348,-9430.375,19.355058670043945,9430.375,-3903.73671875,88931976.0
0.932,1075.917127028761,12.13195021854372,-13158.66,228.57345581054688,13158.66,-6009.122265625,173150340.0
0.936,1081.8668990072995,13.003773543359415,-12500.727,22.583972930908203,12500.727,-8246.094140625,156268160.0
0.94,1087.9443453510924,14.565336432693034,-5702.086,22.926071166992188,5702.086,-9079.47578125,32513784.0
0.944,1094.1649168271467,14.839367466299892,5044.1523,22.437820434570312,5044.1523,-7149.5390625,25443472.0
0.948,1100.353556641054,10.644966503841381,16009.703,22.500091552734375,16009.703,-2061.5234375,256310600.0
0.952,1106.5268300126945,10.868023586291097,22369.723,22.207101821899414,22369.723,5044.153125,500404480.0
0.956,1112.7667955570616,9.255335911141257,21711.79,21.634769439697266,21711.79,11886.65625,471401800.0
0.96,1119.0715973044555,9.516994372081529,14474.527,21.353195190429688,14474.527,15921.97890625,209511940.0
0.964,1125.309800348269,8.677843923380053,3508.9746,21.001506805419922,3508.9746,15614.943359375,12312903.0
0.968,1131.487947174801,8.532192076220227,-7456.574,21.039634704589844,7456.574,10921.687890625,55600500.0
0.972,1137.8325996511635,11.45691195814006,-14474.527,20.757091522216797,14474.527,3552.837890625,209511940.0
0.976,1144.1827622912504,10.387623112222862,-15790.395,19.805091857910156,15790.395,-3947.598828125,249336560.0
0.98,1150.5674812168172,12.460853380973374,-12720.039,231.5483856201172,12720.039,-9386.512109375,161799400.0
0.984,1157.0340920385388,14.132569028903058,-8114.508,15.89699935913086,8114.508,-11711.20859375,65845236.0
0.988,1163.436393789441,14.702751093660268,-4605.5312,11.556366920471191,4605.5312,-11141.0,21210918.0
0.992,1170.0489674654661,13.98598217423245,-2851.045,7.199123382568359,2851.045,-8816.303515625,8128457.0
0.996,1176.732875178237,18.473422724576974,-1535.1777,7.805003643035889,1535.1777,-5965.26015625,2356770.8
1.0,1183.3643912418747,18.34695772426217,438.6211,11.22751235961914,438.6211,-3333.528125,192388.47
1.004,1189.8998011207261,15.408904537950471,3289.664,14.66571044921875,3289.664,-1052.69375,10821890.0
1.008,1196.3336423967287,13.448607944620766,6360.0195,17.626474380493164,6360.0195,1140.41640625,40449850.0
1.012,1202.8432997718264,17.07596901597186,8114.508,19.765207290649414,8114.508,3333.526953125,65845236.0
