Time (s),Depth,Sonic_Velocity,AC,PERM,PORT,RT,SW,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.836,2093.9030292566295,5021.825348064913,,,,,,-3575.5312,12.741479873657227,3575.5312,-8342.90859375,12784424.0
0.84,2103.946798534476,5021.9427586933825,,,,,,-2622.0566,2.819502115249634,2622.0566,-7151.064453125,6875181.0
0.844,2113.990802631842,5022.060172066868,,,,,,-2383.6875,3.6813771724700928,2383.6875,-5244.113671875,5681966.0
0.848,2124.0350415623034,5022.177588185528,,,,,,-1191.8438,10.33230209350586,1191.8438,-3337.162890625,1420491.5
0.852,2134.079515325318,5022.295007049357,,,,,,2145.3203,17.521730422973633,2145.3203,-1525.559765625,4602399.0
0.856,2144.124223929799,5022.412428658458,,,,,,5959.2188,20.377117156982422,5959.2188,381.390234375,35512290.0
0.86,2154.169167380347,5022.529853012887,,,,,,7866.172,20.450824737548828,7866.172,2479.0359375,61876660.0
0.864,2164.214345680952,5022.6472801126865,,,,,,6912.6953,21.56981658935547,6912.6953,4338.3125,47785356.0
0.868,2174.2597588409235,5022.764709957969,,,,,,3813.9023,19.970252990722656,3813.9023,5339.46171875,14545851.0
0.872,2184.3054068597585,5022.882142548728,,,,,,1430.2148,13.080496788024902,1430.2148,5196.440625,2045514.5
0.876,2194.3512897510363,5022.999577885121,,,,,,1430.2148,18.146366119384766,1430.2148,4290.63984375,2045514.5
0.88,2204.397407510807,5023.117015967102,,,,,,3098.7969,12.37922477722168,3098.7969,3337.16484375,9602542.0
0.884,2214.443760154671,5023.234456794854,,,,,,4290.6406,11.734111785888672,4290.6406,2812.75390625,18409596.0
0.888,2224.4903476785166,5023.35190036833,,,,,,3575.5332,17.610103607177734,3575.5332,2765.080078125,12784438.0
0.892,2234.5371700958062,5023.469346687684,,,,,,0.0,20.12681770324707,0.0,2479.037109375,0.0
0.896,2244.584227405608,5023.586795752909,,,,,,-5482.4805,21.17641258239746,5482.4805,1096.498046875,30057592.0
0.9,2254.631519618423,5023.704247564126,,,,,,-10726.598,23.007366180419922,10726.598,-1668.580859375,115059896.0
0.904,2264.6790467360574,5023.821702121355,,,,,,-12156.809,225.7090606689453,12156.809,-4958.070703125,147788000.0
0.908,2274.7268087664916,5023.939159424692,,,,,,-8342.91,25.038040161132812,8342.91,-7341.759375,69604150.0
0.912,2284.7748057138306,5024.056619474182,,,,,,-1430.2129,26.029544830322266,1430.2129,-7627.801953125,2045508.9
0.916,2294.823037583976,5024.174082269896,,,,,,4767.375,28.758140563964844,4767.375,-5577.830859375,22727864.0
0.92,2304.8715043828975,5024.291547811904,,,,,,6197.59,33.663169860839844,6197.59,-2192.993359375,38410120.0
0.924,2314.9202061148458,5024.409016100254,,,,,,2622.0586,41.84233093261719,2622.0586,762.780078125,6875191.5
0.928,2324.96914278722,5024.526487135033,,,,,,-2383.6875,50.70989227294922,2383.6875,1954.624609375,5681966.0
0.932,2335.0183144030602,5024.643960916278,,,,,,-5482.4805,207.20899963378906,5482.4805,1144.17109375,30057592.0
0.936,2345.067720970756,5024.761437444085,,,,,,-4290.6367,31.702274322509766,4290.6367,-667.43125,18409564.0
0.94,2355.1173624925764,5024.878916718481,,,,,,0.0,25.990880966186523,0.0,-1906.94921875,0.0
0.944,2365.1672389774585,5024.996398739573,,,,,,5244.1133,23.8994083404541,5244.1133,-1382.53828125,27500724.0
0.948,2375.2173504273437,5025.113883507381,,,,,,8819.648,21.782800674438477,8819.648,858.12890625,77786200.0
0.952,2385.2676968512815,5025.2313710220105,,,,,,9773.121,20.89378547668457,9773.121,3909.24921875,95513896.0
0.956,2395.3182782513113,5025.348861283487,,,,,,7866.172,20.36934471130371,7866.172,6340.6109375,61876660.0
0.96,2405.369094636165,5025.466354291912,,,,,,4052.2715,20.23789405822754,4052.2715,7151.065234375,16420904.0
0.964,2415.4201460084237,5025.5838500473155,,,,,,-953.4746,22.124717712402344,953.4746,5911.54765625,909113.8
0.968,2425.4714323760536,5025.70134854979,,,,,,-5005.746,23.833242416381836,5005.746,3146.46875,25057494.0
0.972,2435.5229537426176,5025.818849799379,,,,,,-5959.2188,25.960172653198242,5959.2188,0.00078125,35512290.0
0.976,2445.5747101148863,5025.93635379616,,,,,,-3575.5312,219.73773193359375,3575.5312,-2288.33984375,12784424.0
0.98,2455.626701497834,5026.053860540191,,,,,,238.36914,44.24745178222656,238.36914,-3051.1203125,56819.848
0.984,2465.6789278965957,5026.171370031533,,,,,,2860.4277,62.30324172973633,2860.4277,-2288.33984375,8182047.0
0.988,2475.7313893180003,5026.288882270266,,,,,,1906.9512,42.38599395751953,1906.9512,-905.800390625,3636462.8
0.992,2485.7840857651113,5026.4063972564245,,,,,,-2145.3184,29.644372940063477,2145.3184,-143.0203125,4602391.0
0.996,2495.474831015423,4845.80119907603,62.90391840722047,0.1,0.05975506953729981,56.205150258335536,100.0,-7151.0625,26.16526222229004,7151.0625,-858.1265625,51137696.0
1.0,2505.418411265274,5107.823355069612,59.67316785338591,0.1,0.031472901221945876,59.479552005798155,100.0,-10011.492,225.25363159179688,10011.492,-2908.098828125,100229976.0
