Time (s),Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.864,-3009.1147,26.597990036010742,3009.1147,-2870.2314453125,9054772.0
0.868,-231.47021,28.638980865478516,231.47021,-2985.9666015625,53578.46
0.872,2256.8354,31.531635284423828,2256.8354,-2025.36474609375,5093306.0
0.876,2893.3794,33.88675308227539,2893.3794,-555.5287109375,8371644.5
0.88,1504.5571,35.802730560302734,1504.5571,682.83740234375,2263692.2
0.884,-578.6758,37.4691047668457,578.6758,1168.9251953125,334865.66
0.888,-1620.2925,38.36872863769531,1620.2925,891.1607421875,2625347.8
0.892,-1099.4844,209.96804809570312,1099.4844,219.89677734375,1208865.9
0.896,231.47021,42.80513000488281,231.47021,-312.48505859375,53578.46
0.9,1215.2192,43.13383483886719,1215.2192,-370.35263671875,1476757.8
0.904,1215.2192,39.58768844604492,1215.2192,-11.5736328125,1476757.8
0.908,0.0,34.783729553222656,0.0,312.48486328125,0.0
0.912,-1967.498,31.086328506469727,1967.498,138.88212890625,3871048.5
0.916,-3645.658,30.528053283691406,3645.658,-636.543505859375,13290822.0
0.92,-3240.585,219.107666015625,3240.585,-1527.704345703125,10501391.0
0.924,-231.47021,30.674156188964844,231.47021,-1817.042236328125,53578.46
0.928,3645.6577,31.017778396606445,3645.6577,-1087.910693359375,13290820.0
0.932,5439.551,31.569528579711914,5439.551,393.499072265625,29588712.0
0.936,3703.525,31.679750442504883,3703.525,1863.33564453125,13716097.0
0.94,57.867676,32.03630065917969,57.867676,2523.026171875,3348.668
0.944,-2719.7764,32.99882507324219,2719.7764,2025.36494140625,7397183.5
0.948,-3009.1147,215.45799255371094,3009.1147,694.41044921875,9054772.0
0.952,-1273.0869,36.848358154296875,1273.0869,-648.11708984375,1620750.2
0.956,983.749,38.8739013671875,983.749,-1192.072265625,967762.1
0.96,2256.8354,38.104923248291016,2256.8354,-752.2787109375,5093306.0
0.964,1851.7622,34.35076141357422,1851.7622,162.02900390625,3429023.2
0.968,289.3379,30.272640228271484,289.3379,821.71953125,83716.414
0.972,-1388.8223,26.75433921813965,1388.8223,798.5724609375,1928827.2
0.976,-2430.4385,23.419200897216797,2430.4385,115.7349609375,5907031.0
0.98,-2719.7764,227.82501220703125,2719.7764,-879.58740234375,7397183.5
0.984,-2141.1006,21.91524887084961,2141.1006,-1678.1599609375,4584311.5
0.988,-925.88135,21.410037994384766,925.88135,-1921.20380859375,857256.25
0.992,462.94043,21.09429931640625,462.94043,-1550.85126953125,214313.84
0.996,1446.69,19.501760482788086,1446.69,-775.4255859375,2092911.8
1.0,1909.6304,18.92701530456543,1909.6304,150.45576171875,3646688.2
1.004,1793.895,18.780445098876953,1793.895,937.4548828125,3218059.2
1.008,1273.0864,17.841995239257812,1273.0864,1377.2484375,1620749.0
1.012,636.54346,15.729743003845215,636.54346,1411.96904296875,405187.56
1.016,347.20557,2.942028045654297,347.20557,1192.07216796875,120551.7
1.02,462.94043,15.800230979919434,462.94043,902.7341796875,214313.84
1.024,752.2783,2.1998403072357178,752.2783,694.41083984375,565922.7
1.028,868.0137,10.719315528869629,868.0137,613.3962890625,753447.75
1.032,752.2783,13.032378196716309,752.2783,636.54326171875,565922.7
1.036,-57.867676,19.275495529174805,57.867676,555.52861328125,3348.668
1.04,-1620.2925,23.404766082763672,1620.2925,138.88203125,2625347.8
1.044,-2893.3794,25.113807678222656,2893.3794,-590.24951171875,8371644.5
1.048,-2777.644,224.2561798095703,2777.644,-1319.3810546875,7715306.5
1.052,-1446.69,24.626605987548828,1446.69,-1759.17470703125,2092911.8
1.056,-173.60303,21.17311668395996,173.60303,-1782.32177734375,30138.012
1.06,173.60254,10.22803783416748,173.60254,-1423.5427734375,30137.842
1.064,57.867676,3.775932550430298,57.867676,-833.293359375,3348.668
1.068,173.60254,3.5221292972564697,173.60254,-243.04404296875,30137.842
1.072,752.2783,16.5497989654541,752.2783,196.749609375,565922.7
1.076,1215.2192,19.131620407104492,1215.2192,474.5140625,1476757.8
1.08,1330.9546,16.446765899658203,1330.9546,705.98447265625,1771440.1
1.084,1215.2192,16.387710571289062,1215.2192,937.45478515625,1476757.8
1.088,983.749,15.01070785522461,983.749,1099.48408203125,967762.1
1.092,520.8081,19.99440574645996,520.8081,1053.1900390625,271241.1
1.096,-347.20557,25.433881759643555,347.20557,740.705078125,120551.7
1.1,-1099.4844,27.340045928955078,1099.4844,254.61728515625,1208865.9
1.104,-1330.9546,220.3829803466797,1330.9546,-254.61748046875,1771440.1
1.108,-868.0137,30.319740295410156,868.0137,-624.97001953125,753447.75
1.112,57.867676,29.2983455657959,57.867676,-717.55810546875,3348.668
1.116,1215.2192,28.83437728881836,1215.2192,-405.07314453125,1476757.8
1.12,2141.1,29.9548282623291,2141.1,243.04375,4584309.5
1.124,1851.7622,30.813671112060547,1851.7622,879.587109375,3429023.2
1.128,231.47021,30.280609130859375,231.47021,1099.48388671875,53578.46
1.132,-1504.5571,29.7723331451416,1504.5571,786.99892578125,2263692.2
1.136,-1909.6304,27.923385620117188,1909.6304,162.02900390625,3646688.2
1.14,-1157.352,230.5576934814453,1157.352,-497.66142578125,1339463.8
1.144,-752.2788,10.062935829162598,752.2788,-1018.46962890625,565923.4
1.148,-1330.9546,243.20054626464844,1330.9546,-1330.95458984375,1771440.1
1.152,-2083.233,232.25482177734375,2083.233,-1446.68974609375,4339859.5
1.156,-1909.6304,21.904701232910156,1909.6304,-1446.68974609375,3646688.2
1.16,-520.8086,22.615922927856445,520.8086,-1319.3810546875,271241.6
1.164,1504.5571,22.02728843688965,1504.5571,-868.0138671875,2263692.2
1.168,3356.3198,21.360103607177734,3356.3198,69.441015625,11264883.0
1.172,4397.9336,21.850688934326172,4397.9336,1365.67431640625,19341820.0
1.176,3992.8628,22.74368667602539,3992.8628,2546.17294921875,15942953.0
1.18,2025.3657,23.727325439453125,2025.3657,3055.4078125,4102106.2
1.184,-347.20557,22.9577693939209,347.20557,2685.0552734375,120551.7
1.188,-1736.0278,20.323986053466797,1736.0278,1666.5857421875,3013792.8
1.192,-1967.498,16.176544189453125,1967.498,393.4994140625,3871048.5
1.196,-1736.0278,9.010717391967773,1736.0278,-752.2787109375,3013792.8
1.2,-1736.0278,7.968952178955078,1736.0278,-1504.557421875,3013792.8
1.204,-1736.0278,237.71058654785156,1736.0278,-1782.321875,3013792.8
1.208,-1446.69,14.669964790344238,1446.69,-1724.454296875,2092911.8
1.212,-983.749,13.59791088104248,983.749,-1527.7044921875,967762.1
1.216,-462.94092,14.530879974365234,462.94092,-1273.087109375,214314.3
1.22,173.60254,18.254880905151367,173.60254,-891.16103515625,30137.842
1.224,520.8081,20.123567581176758,520.8081,-439.79384765625,271241.1
1.228,231.47021,22.417226791381836,231.47021,-104.16181640625,53578.46
1.232,-520.8086,101.18244934082031,520.8086,-11.57373046875,271241.6
1.236,-983.749,20.79552459716797,983.749,-115.7353515625,967762.1
1.24,-636.54346,20.993179321289062,636.54346,-277.76455078125,405187.56
1.244,868.0137,22.569238662719727,868.0137,-208.3234375,753447.75
1.248,2835.5112,22.352550506591797,2835.5112,312.484765625,8040124.0
1.252,4166.465,21.613359451293945,4166.465,1249.939453125,17359430.0
1.256,4166.465,20.51957130432129,4166.465,2279.9822265625,17359430.0
1.26,3066.982,18.417383193969727,3066.982,3020.6873046875,9406378.0
1.264,1562.4243,16.333091735839844,1562.4243,3159.56943359375,2441169.8
