Time (s),Depth,Sonic_Velocity,AC,PHIT,R64,RD,TEMP,SW,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
1.224,2057.280446589691,4441.541660969445,68.62491128651236,0.15764459852414692,39.08303862325996,32.046756189021686,92.14525250451138,1.0,5263.254,28.712491989135742,5263.254,1697.131640625,27701842.0
1.228,2065.9030095673447,4417.653071175152,68.99597807798956,0.09394719634393892,43.41618329859434,24.269374770851588,92.38988426788535,1.0,2685.335,29.597225189208984,2685.335,2792.748046875,7211024.0
1.232,2074.8299263666736,4597.786008992347,66.29593338795571,0.1711955820002668,46.57153611002801,30.935050517185353,92.64313793826679,1.0,-1181.5469,30.842002868652344,1181.5469,2771.265234375,1396053.0
1.236,2083.7159342772534,4336.8028768173735,70.28287236480197,0.173247229502214,49.588588079029556,33.47907757393801,92.89524615976308,1.0,-3437.2275,31.84635353088379,3437.2275,1654.166015625,11814533.0
1.24,2092.888707102087,4807.228895073287,63.4094816597496,0.15857757387534724,44.98751236903321,38.10488556205564,93.15538379885817,1.0,-2792.747,215.7488555908203,2792.747,107.4134765625,7799436.0
1.244,2101.971521589125,4479.418023412712,68.04467203764781,0.20592196717235933,55.18135640773249,43.42427515297504,93.4131026044954,1.0,-322.23926,42.40483474731445,322.23926,-1009.68515625,103838.14
1.248,2111.030151505425,4526.965218803545,67.32999850419742,0.08037030365258006,49.61528636451144,30.44661980479864,93.67007439365743,1.0,1396.375,61.838417053222656,1396.375,-1267.4771484375,1949863.1
1.252,2120.1239536188627,4562.918877555596,66.80108965759413,0.16213882924883838,51.64807465872356,41.68410267409674,93.92807070132841,1.0,537.0674,59.051673889160156,537.0674,-923.754296875,288441.38
1.256,2129.213388265559,4313.776479420533,70.65792794538613,0.22097703365982377,52.74661483170089,38.20124725359082,94.18587487143564,1.0,-2040.8535,40.34587097167969,2040.8535,-644.4794921875,4165083.0
1.26,2138.127703856956,4459.294109761687,68.35266906464669,0.08562995596500875,62.94969634993751,50.04686869846753,94.438775707995,1.0,-3974.295,216.61105346679688,3974.295,-880.7890625,15795020.0
1.264,2145.9896018306367,4116.35560231859,74.04687340983297,0.2327495560647417,75.04440045765894,58.81883093762268,94.6618088512578,1.0,-3329.8145,31.27306365966797,3329.8145,-1482.3041015625,11087664.0
1.268,2153.993853362564,4548.944957191378,67.00625440775994,0.2449212789477163,74.37870451427355,45.173519292278996,94.88882789415177,1.0,0.0,30.735057830810547,0.0,-1761.5791015625,0.0
1.272,2162.5709482593825,4724.306260709257,64.51791644503213,0.2483,78.93496033856837,45.306048933847585,95.13218655126293,1.0,3759.4697,30.298738479614258,3759.4697,-1117.0986328125,14133613.0
1.276,2172.3009127386467,4143.014842743639,73.56963269981154,0.19573833502313667,44.50588945748048,5.052848846940883,95.40822555668208,1.0,5370.668,30.569252014160156,5370.668,365.2056640625,28844074.0
1.28,2181.75231107238,4710.540796636011,64.7060990340359,0.09185862040185296,37.75243435739432,22.731862828176027,95.67631702109902,1.0,3652.0557,31.863117218017578,3652.0557,1890.47578125,13337511.0
