Time (s),Depth,Sonic_Velocity,AC,PORT,R64,SW,RT,POR,PORW,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.72,1156.3731971333336,3396.570261966281,89.73837871396329,,10.487536057333456,,,,,-3618.3232,26.566713333129883,3618.3232,-2341.2669921875,13092263.0
0.724,1163.8125604736276,3633.9358100052464,83.87599999999999,,9.432197992678077,,,,,-957.791,26.282207489013672,957.791,-2554.1095703125,917363.6
0.728,1171.5902358439678,3847.6313925237523,79.2177480927889,,20.902511792198865,,,,,2554.1104,26.607280731201172,2554.1104,-1830.4451171875,6523479.5
0.732,1179.6723654453517,3932.166812897749,77.5182799620373,,18.07933740365606,,,,,5001.797,26.731069564819336,5001.797,-255.4109375,25017972.0
0.736,1188.0944361568859,4333.362866361346,70.33838394534149,,21.117830101189476,,,,,5001.797,26.61863136291504,5001.797,1596.31796875,25017972.0
0.74,1196.1715766448065,4094.6828232891803,74.438,,21.480695036175046,,,,,2873.374,25.643936157226562,2873.374,2894.657421875,8256278.5
0.744,1204.1295973526182,3855.783782515469,79.05123044790513,,20.74012410343093,,,,,212.84277,24.562414169311523,212.84277,3128.7841796875,45302.047
0.748,1211.9789460560453,3491.8489156709325,87.289,,9.56789610171523,,,,,-1596.3184,23.376628875732422,1596.3184,2298.6984375,2548232.2
0.752,1220.0986860754927,4116.916094872764,74.036,,24.14693997330576,,,,,-1915.583,18.940731048583984,1915.583,915.2224609375,3669458.2
0.756,1228.212916177806,4049.588795229719,75.26696151738696,,24.193888071968786,,,,,-1489.8975,9.634209632873535,1489.8975,-383.11640625,2219794.5
0.76,1236.500925714749,4083.86070419534,74.63527862670911,,25.497148114359838,,,,,-1383.4766,3.026466131210327,1383.4766,-1234.4865234375,1914007.4
0.764,1244.8726030933742,4077.677359957844,74.74886159560103,,27.31742474240792,,,,,-2128.4248,8.324520111083984,2128.4248,-1702.7400390625,4530192.0
0.768,1253.313965515475,4208.201021676101,72.43,,24.609589650541963,,,,,-2873.374,231.01974487304688,2873.374,-1958.151171875,8256278.5
0.772,1261.701655851705,4062.014327756789,75.03667173807327,,26.43285455390943,,,,,-2447.6885,23.955303192138672,2447.6885,-2064.572265625,5991179.0
0.776,1269.838818981691,4143.170014980308,73.65335084404481,,18.17292450022162,,,,,0.0,26.95653533935547,0.0,-1766.5927734375,0.0
0.78,1278.1867485727112,4041.0441029501726,75.43004956349445,,27.882003078445646,,,,,3405.4814,27.770183563232422,3405.4814,-808.801171875,11597304.0
0.784,1286.673600718159,4353.041988003428,70.02,,26.719567195658158,,,,,5746.746,28.70830726623535,5746.746,766.2330078125,33025090.0
0.788,1295.0682524857484,4135.280165678721,73.70769246788345,,19.72523133504952,,,,,5108.2188,29.454936981201172,5108.2188,2362.5515625,26093898.0
0.792,1303.454208750368,4291.507096192837,71.024,,23.79114142406411,,,,,1489.8975,29.62752914428711,1489.8975,3150.06875,2219794.5
0.796,1311.108562550085,4298.535676764024,70.90896800296498,,18.852384622975762,,,,,-3192.6377,30.042600631713867,3192.6377,2511.5412109375,10192935.0
0.8,1319.4165548364326,4187.906328139489,72.78116994236792,,29.67487922333643,,,,,-6172.4297,30.324426651000977,6172.4297,595.958984375,38098890.0
0.804,1327.5272026259124,3479.505906569526,87.59976553981308,,11.970444953937863,,,,,-5640.324,219.76016235351562,5640.324,-1681.455078125,31813258.0
0.808,1335.7564553882357,4001.0102230415146,76.19957485647582,,26.877960115764267,,,,,-2128.4248,29.6724853515625,2128.4248,-3128.7837890625,4530192.0
0.812,1344.1351866241928,4295.792671943326,70.95327488535526,,18.097236783446256,,,,,2128.4258,28.93568229675293,2128.4258,-3001.078125,4530196.5
0.816,1352.1605263697395,4250.701341167885,71.70594726050797,,26.444105314956175,,,,,4895.375,28.409391403198242,4895.375,-1383.4755859375,23964696.0
0.82,1360.4546878851258,3902.328986934748,78.10723476397142,,13.88273439425601,,,,,5001.797,26.836864471435547,5001.797,851.3697265625,25017972.0
0.824,1368.9497341095732,4297.568757371212,70.92510331931057,,22.63102684101548,,,,,3192.6377,25.322649002075195,3192.6377,2617.962109375,10192935.0
0.828,1377.4212514977232,4142.301641903096,73.58339802892526,,25.551060178544212,,,,,532.10645,24.68582534790039,532.10645,3150.068359375,283137.28
0.832,1385.6984722078778,4173.512980611239,73.032,,14.706418031320155,,,,,-1596.3184,22.082874298095703,1596.3184,2405.11953125,2548232.2
0.836,1393.9521909761906,4501.234629465645,67.71490386213135,,25.85499870044744,,,,,-2979.795,21.228425979614258,2979.795,830.085546875,8879178.0
0.84,1402.7128492571621,4365.573840931552,69.819,,32.352055370168166,,,,,-3405.4805,22.2066707611084,3405.4805,-851.369921875,11597297.0
0.844,1411.9286991809606,4644.150048407313,65.63098617276104,,35.31384309009533,,,,,-2873.374,229.08575439453125,2873.374,-2064.572265625,8256278.5
0.848,1420.9998036131656,4508.208844845437,67.61,,31.21067203398642,,,,,-1596.3184,22.640661239624023,1596.3184,-2490.2572265625,2548232.2
0.852,1429.9690088114157,4162.0580885666295,73.233,,22.64780176228236,,,,,212.84277,23.73243522644043,212.84277,-2128.425,45302.047
0.856,1438.3990082817145,3599.4756669304084,84.67899999999999,,15.858952049566486,,,,,1702.7402,22.87052345275879,1702.7402,-1191.91796875,2899324.2
0.86,1446.8408931672147,3726.840428786119,81.78521366558779,,15.849337131024729,,,,,2554.1104,24.967727661132812,2554.1104,0.0001953125,6523479.5
0.864,1455.1471320183498,4541.518602007159,67.1142646430977,,25.453796966128756,,,,,2234.8467,24.37880516052246,2234.8467,1021.6443359375,4994539.5
0.868,1464.19462831862,4271.956530579746,71.35047415988751,,35.90591318583351,,,,,1383.4766,21.668071746826172,1383.4766,1617.6033203125,1914007.4
0.872,1473.116153349038,4279.396279396279,71.22500000000001,,27.12336958868377,,,,,319.26367,21.864423751831055,319.26367,1638.8875,101929.29
0.876,1481.6844326079593,3994.9314973627497,76.31188984803558,,14.826572718447927,,,,,-638.52734,20.023202896118164,638.52734,1170.633984375,407717.16
0.88,1490.5906937852833,4416.367219195548,69.016,,32.82527611289117,,,,,-1489.8975,18.870431900024414,1489.8975,361.832421875,2219794.5
0.884,1499.8204400826667,4660.40793859515,65.402,,33.11564264453688,,,,,-2341.2676,21.35873031616211,2341.2676,-553.3904296875,5481534.0
0.888,1508.0513160734808,4144.644199733804,73.54192276239577,,12.536592340994765,,,,,-2660.5312,226.52549743652344,2660.5312,-1362.1919921875,7078426.5
0.892,1516.5126643287008,4068.620201502458,74.91536590207609,,13.686620070138924,,,,,-1915.583,23.963775634765625,1915.583,-1809.161328125,3669458.2
0.896,1525.854689435741,4541.270816922871,67.11792576581755,,44.515856219759904,,,,,106.421875,24.748279571533203,106.421875,-1660.171484375,11325.615
0.9,1534.6354915875672,3994.6089461450465,76.30332381793245,,18.016292560397908,,,,,3086.2178,26.08794403076172,3086.2178,-744.9484375,9524740.0
0.904,1544.016063042239,4508.208844845437,67.61,,41.67028973972416,,,,,5427.4844,26.184432983398438,5427.4844,808.801953125,29457586.0
0.908,1553.1546374819013,4482.829665937704,67.9933573227136,,39.74227989146004,,,,,5640.324,26.09993553161621,5640.324,2468.973046875,31813258.0
0.912,1562.418486124096,4802.439102533607,63.46812935758053,,41.13385314942533,,,,,3086.2178,26.420942306518555,3086.2178,3469.333203125,9524740.0
0.916,1571.8019227660284,4747.60047722363,64.2008647596992,,47.367191629922516,,,,,-1277.0547,26.589717864990234,1277.0547,3192.637890625,1630868.6
0.92,1581.2512612547923,4740.288922246523,64.30003512213209,,49.65926936542317,,,,,-5214.6406,26.926984786987305,5214.6406,1532.4662109375,27192476.0
0.924,1590.8507251735527,4491.542312751323,67.86976194509462,,35.777550022661046,,,,,-6491.6953,26.991065979003906,6491.6953,-851.3697265625,42142108.0
0.928,1600.106216065755,4401.987213842207,69.25314290907176,,40.472098287242666,,,,,-4682.535,222.91004943847656,4682.535,-2915.9416015625,21926136.0
0.932,1609.3744124944983,4614.31456086568,66.05543088608457,,43.246723105974255,,,,,-1064.2119,28.09674072265625,1064.2119,-3746.0275390625,1132547.0
0.936,1619.0078506212672,4901.188313045716,62.189,,57.24634755268689,,,,,1915.583,29.13167953491211,1915.583,-3107.5,3669458.2
0.94,1628.210137472855,4226.957879119521,72.10940390708889,,14.888391751628227,,,,,2447.6895,30.642139434814453,2447.6895,-1575.033984375,5991183.5
0.944,1637.3023619837052,4758.389425196115,64.05764777443906,,30.447819288859883,,,,,957.792,38.90119934082031,957.792,-85.1365234375,917365.5
0.948,1646.0419990749415,4885.398301009778,62.38999999999999,,32.46199583726355,,,,,-744.94824,88.11548614501953,744.94824,702.380859375,554947.9
0.952,1656.3471487619643,5188.143697593002,58.7520760460934,,59.00718760774825,,,,,-744.94824,194.54696655273438,744.94824,766.23359375,554947.9
0.956,1666.696288235248,5067.26371894688,60.15119452912918,,56.973390764794914,,,,,1277.0557,33.3242073059082,1277.0557,638.528125,1630871.1
0.96,1676.5090583908973,5081.693897965989,59.98,,44.55336349451611,,,,,3831.165,29.94332504272461,3831.165,915.2232421875,14677826.0
0.964,1686.1862496706942,4965.3015345518525,61.386,,48.98300395152629,,,,,4682.535,29.562091827392578,4682.535,1660.171875,21926136.0
0.968,1695.815709108289,4344.0707153322455,70.16955462998855,,31.561031845251893,,,,,2554.1104,29.22911834716797,2554.1104,2319.98359375,6523479.5
0.972,1704.7126701362372,4995.951944582155,61.009466973854536,,22.537513010922638,,,,,-1383.4766,28.8421630859375,1383.4766,2192.2779296875,1914007.4
0.976,1713.9615665029482,4842.33065865088,62.94550265817046,,46.94033704615272,,,,,-4788.957,29.303525924682617,4788.957,979.075390625,22934110.0
0.98,1723.8295239477015,4673.2119888170055,65.22397059543759,,38.29696084227447,,,,,-5427.4844,220.06727600097656,5427.4844,-872.6544921875,29457586.0
0.984,1733.8462411462892,4880.841054412569,62.452261108608575,,61.0302751933233,,,,,-2979.795,30.604143142700195,2979.795,-2405.1205078125,8879178.0
0.988,1743.9743936489301,5010.791832241375,60.82984976653645,,41.255320011764184,,,,,638.5283,31.482158660888672,638.5283,-2788.2369140625,407718.4
0.992,1752.9968482482068,5171.0250411810775,58.94435641199107,,48.340910510762306,,,,,2873.374,32.80396270751953,2873.374,-1936.866796875,8256278.5
0.996,1762.8309622722495,4787.161349844682,63.670841288333435,,38.827816023586905,,,,,2554.1104,37.02024459838867,2554.1104,-468.2533203125,6523479.5
1.0,1771.7492179009928,4474.709551241429,68.11985227402974,,27.38354529584708,,,,,212.84277,45.01678466796875,212.84277,659.812109375,45302.047
1.004,1780.8560348663818,4862.933932620847,62.678369918601014,,56.80649328584726,,,,,-1702.7402,51.7593879699707,1702.7402,915.223046875,2899324.2
1.008,1791.1773555776433,5162.83195269154,59.03843539157394,,70.1871486053438,,43.33981155378743,,,-1596.3184,203.12367248535156,1596.3184,468.2537109375,2548232.2
1.012,1800.648467783057,4612.316036762943,66.08399000481172,,34.49255225686805,,63.746428659343586,,,638.5283,38.917232513427734,638.5283,21.2845703125,407718.4
1.016,1810.0496880969986,4378.691121269566,69.60984269042315,,27.055432336551092,,34.371509103689135,,,3192.6377,33.27754592895508,3192.6377,148.9900390625,10192935.0
1.02,1819.2150358661904,4601.596936610551,66.23792453080283,,14.38215265661588,,11.416028692960072,,,4044.0088,29.0346736907959,4044.0088,915.2232421875,16354007.0
1.024,1827.9750797844886,4463.625689576573,68.28530035574633,,13.733498404310305,,16.530204797406533,,,2766.9531,26.93137550354004,2766.9531,1809.1619140625,7656029.5
1.028,1837.2652306311845,4447.212273895202,68.53733754311668,,11.164913837870813,,12.299936853249754,,,319.26367,24.370269775390625,319.26367,2192.2783203125,101929.29
1.032,1846.11259704254,4403.1338901961735,69.22348801610343,,10.614087153403458,,11.992592791060517,,,-1596.3184,19.799100875854492,1596.3184,1745.308984375,2548232.2
1.036,1854.5466845121205,4494.494625609199,67.81820484601441,,11.563090401129742,,8.355718700055347,,,-2660.5312,15.395980834960938,2660.5312,574.6751953125,7078426.5
1.04,1863.4695720230122,4467.818595887157,68.22161881654368,,19.047836635661582,,17.485635169499066,,,-3299.0586,11.347002029418945,3299.0586,-893.93828125,10883788.0
1.044,1872.8644196621847,5259.227251268383,57.957745539021495,,46.62719462972476,,56.30618497167845,,,-4363.2695,10.244686126708984,4363.2695,-2319.9828125,19038122.0
1.048,1882.8834978720977,5150.335681340346,59.18434822370505,,39.78822570281884,,60.67202009238963,,,-5853.168,233.70335388183594,5853.168,-3554.469140625,34259576.0
1.052,1892.6627375759697,4745.605690056672,64.228469225316,,17.150650218086323,,18.699437139812304,,,-5746.746,20.764163970947266,5746.746,-4384.5546875,33025090.0
1.056,1901.7411135330606,4582.486031296163,66.51426543766136,,22.14022052685579,,55.23240577879213,,,-2660.5312,22.535930633544922,2660.5312,-4384.5546875,7078426.5
1.06,1911.4780311534025,4344.652876030251,70.15520207689327,,16.701681869203945,,11.661077883497683,,,3299.0596,24.033109664916992,3299.0596,-3064.9310546875,10883794.0
