Time (s),Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
3.9650000000000003,-2056.561279296357,25.830209732055636,2056.561279296357,-4564.561279296631,4229444.295501068
3.966,-501.60107421840485,25.748931884765607,501.60107421840485,-3310.5612792966335,251603.6376570577
3.967,1053.3591308595478,25.667654037475575,1053.3591308595478,-1956.2412109372701,1109565.458565182
3.968,2608.3193359375,25.586376190185547,2608.3193359375,-501.60107421854354,6803329.758225441
3.969,3862.319580077986,25.47351694107057,3862.319580077986,993.1671386720536,14917512.53865379
3.97,5116.319824219028,25.36065769195554,5116.319824219028,2427.7433593751307,26176728.543696627
3.971,6370.320068359514,25.247798442840562,6370.320068359514,3802.1275878907145,40580977.773343965
3.972,7624.3203125,25.134939193725586,7624.3203125,5116.319824218805,58130260.2276001
3.973,8000.519531249958,24.88739776611331,8000.519531249958,6194.759863281297,64008312.76991205
3.974,8376.718750000084,24.639856338500923,8376.718750000084,7097.639697265715,70169417.01660296
3.975,8752.917968750042,24.392314910888643,8752.917968750042,7824.959326171918,76613572.96766736
3.976,9129.1171875,24.144773483276367,9129.1171875,8376.718750000016,83340780.62310791
3.977,8652.597656250053,23.877606868743925,8652.597656250053,8582.374218750027,74867446.2009439
3.978,8176.0781249998945,23.610440254211365,8176.0781249998945,8617.485937500014,66848253.50610179
3.979,7699.558593749947,23.343273639678927,7699.558593749947,8482.053906249987,59283202.538588665
3.98,7223.0390625,23.076107025146484,7223.0390625,8176.078124999978,52172293.29840088
3.981,6320.1591796876,22.689747810363812,6320.1591796876,7614.286523437497,39944412.05658944
3.982,5417.2792968748,22.30338859558097,5417.2792968748,6967.222851562447,29346914.980348326
3.983,4514.3994140624,21.917029380798297,4514.3994140624,6234.887109374949,20379802.06968694
3.984,3611.51953125,21.530670166015625,3611.51953125,5417.279296874959,13043073.32460022
3.985,2733.7194824219723,21.145586490631146,2733.7194824219723,4519.415380859353,7473222.208573456
3.986,1855.9194335935551,20.760502815246497,1855.9194335935551,3626.567431640545,3444436.9439902226
3.987,978.1193847655277,20.375419139862018,978.1193847655277,2738.7354492186905,956717.5308540944
3.988,100.3193359375,19.99033546447754,100.3193359375,1855.9194335937104,10063.969162940979
3.989,-576.8408203124249,19.859979629516616,576.8408203124249,1018.2473632812253,332745.33197871124
3.99,-1254.0009765626503,19.729623794555636,1254.0009765626503,220.70327148430079,1572518.4492200806
3.991,-1931.1611328125753,19.599267959594712,1931.1611328125753,-536.7128417969253,3729383.320885949
3.992,-2608.3212890625,19.46891212463379,2608.3212890625,-1254.000976562531,6803339.946976662
3.993,-3009.6013183593304,19.56843614578246,3009.6013183593304,-1875.9851074218968,9057700.09547022
3.994,-3410.881347656339,19.667960166931174,3410.881347656339,-2442.7932128906796,11634111.567789923
3.995,-3812.1613769531696,19.767484188079845,3812.1613769531696,-2954.4252929687837,14532574.363933485
3.996,-4213.44140625,19.867008209228516,4213.44140625,-3410.881347656269,17753088.483901978
3.997,-4263.6005859374945,19.9757056236267,4263.6005859374945,-3741.9372070312675,18178289.95640655
3.998,-4313.759765625011,20.084403038024927,4313.759765625011,-4002.768896484404,18608523.315525148
3.999,-4363.9189453125055,20.193100452423106,4363.9189453125055,-4193.376416015637,19043788.56125741
4.0,-4414.078125,20.30179786682129,4414.078125,-4313.759765625003,19484085.693603516
4.001,-4163.278808593639,72.6761584282154,4163.278808593639,-4303.727246093731,17332890.43808487
4.002,-3912.4794921875,125.05051898956299,3912.4794921875,-4233.503027343732,15307495.776787758
4.003,-3661.6801757811386,177.42487955095712,3661.6801757811386,-4103.087109374957,13407901.70970859
4.0040000000000004,-3410.8808593746435,229.79924011225805,3410.8808593746435,-3912.479492187385,11634108.236848306
4.005,-3009.600830078036,177.29717636107233,3009.600830078036,-3631.584033202992,9057697.156406403
4.006,-2608.3208007810717,124.79511260983998,2608.3208007810717,-3320.592431640479,6803337.399787212
4.007,-2207.040771484464,72.29304885865426,2207.040771484464,-2979.504687499872,4871028.966994738
4.008,-1805.7607421875,19.790985107421875,1805.7607421875,-2608.320800781144,3260771.858025551
