Time (s),Depth,Sonic_Velocity,AC,R64,TEMP,RT,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.724,793.4733536506673,2660.947218093223,114.5459475296589,23.003646349331934,53.04073353650668,14.294314031865337,657.93164,92.56535339355469,657.93164,-1710.6265625,432874.03
0.728,799.0044684972669,2936.6928539582514,103.79036775628998,30.66849625163814,53.19635747978134,13.965528722948292,219.31055,62.67335891723633,219.31055,-1886.075390625,48097.117
0.732,804.4885317700038,2729.7485150356015,111.6586464523041,24.456003638311547,53.356426588500206,12.971527390301615,-1535.1777,22.755821228027344,1535.1777,-1403.591015625,2356770.8
0.736,809.9735941533997,2699.5098971991497,112.909452365267,26.86749148827708,53.456735941534006,14.614650387264485,-3070.3555,14.540788650512695,3070.3555,-1096.555859375,9427083.0
0.74,815.3657265116185,2842.4638916837516,107.50500669852343,16.194624781397614,53.636657265116206,12.574866567487414,-4605.5312,7.900062561035156,4605.5312,-1666.764453125,21210918.0
0.744,821.1768292902465,2664.176637903129,114.40689028758828,23.118914546116095,53.79360975741472,11.965365858049074,-7895.1953,12.46834945678711,7895.1953,-3377.38984375,62334108.0
0.748,826.7270548374119,2751.0460828346204,110.79437658451339,28.35928096345833,53.898,11.215441837009214,-11184.863,231.3279571533203,11184.863,-5658.224609375,125101170.0
0.752,832.2751766203313,2860.646882560398,106.54994734282386,27.260908157427586,54.07849646759337,13.956679187405713,-10746.238,21.117673873901367,10746.238,-7500.43671875,115481640.0
0.756,837.7813423606963,2861.9449582633033,106.501,17.953128702213455,54.313932881965165,14.356327582985276,-4166.91,22.28630256652832,4166.91,-7719.74765625,17363140.0
0.76,842.974237206876,2300.7862426138527,132.48110363102492,12.789335628974234,54.561257627931234,9.260613677959958,6360.0195,21.884143829345703,6360.0195,-5526.6375,40449850.0
0.764,847.9664323170663,2377.140453763592,128.24585138436572,10.663873451216375,54.715985939024044,6.638497378052846,16229.016,20.959644317626953,16229.016,-701.7953125,263380940.0
0.768,852.9501441698897,2640.8051027680594,115.48883133396593,11.321498558301087,54.91750432509673,5.276463957527206,21931.102,19.90020179748535,21931.102,5921.39765625,480973220.0
0.772,858.3955515003088,2200.719871532973,138.50014748562052,11.79518341456656,55.040911030006235,6.903688605021828,22369.723,18.98292350769043,22369.723,12544.58984375,500404480.0
0.776,863.6345787087931,2637.816623501605,115.85682835445743,12.775383148351628,55.18742050961535,6.6877949038465045,17764.191,18.46636390686035,17764.191,16930.81015625,315566500.0
0.78,868.9393574878663,2717.270586832656,112.53841738403993,11.512244975849228,55.36924497584923,7.593670676334502,9430.371,17.930233001708984,9430.371,17544.88046875,88931896.0
0.784,874.0428980803179,2704.037563428397,112.72110153948971,10.766860827228488,55.54228407678734,5.655136307149355,-1096.5566,17.86577606201172,1096.5566,14079.766015625,1202436.5
0.788,879.6155697294743,2804.357426762844,108.688,18.902,55.659868367536575,6.662340389465554,-11842.797,17.848573684692383,11842.797,7324.986328125,140251840.0
0.792,885.1254476974761,2800.5034891788046,108.83764091797234,18.2000169838501,55.82245523025265,9.066818078669868,-20834.547,18.078638076782227,20834.547,-1315.867578125,434078340.0
0.796,890.7047193706544,2752.1085857575995,110.75154472785415,20.643029329380827,56.022,9.041914544749789,-25878.7,18.791547775268555,25878.7,-10044.445703125,669707100.0
0.8,896.3915750270288,2786.513566883639,109.384,19.34542497296809,56.147578751351595,10.862959737295002,-24782.145,230.66970825195312,24782.145,-16886.948828125,614154700.0
0.804,902.0085429664083,2874.0666320683313,106.05208392020815,22.78863886098127,56.45865828134368,10.862754175916924,-17325.57,19.70039939880371,17325.57,-20132.7515625,300175400.0
0.808,907.6867728624095,2814.5216518663083,108.2961557438587,19.961482007370794,56.415470914496304,8.08702631228507,-5921.3984,19.692848205566406,5921.3984,-18948.471875,35062960.0
0.812,912.9253261923926,2603.7821704521275,117.07035588101768,11.711778189171346,56.6220130476958,8.450511879551593,5263.465,19.240097045898438,5263.465,-13728.86953125,27704062.0
0.816,918.1868720553019,2647.7156548963053,115.11974432496987,11.471270605160944,56.882343602765005,6.7106028269119165,12720.039,18.210840225219727,12720.039,-6009.121875,161799400.0
0.82,923.5891709642383,2842.3415772610606,107.23701943243711,13.136025386781181,57.089375644635304,6.5286243553647,15571.082,16.50819969177246,15571.082,2061.5234375,242458600.0
0.824,928.9420909748153,2696.6151962270383,113.06119702859613,13.874672779853809,57.35210454874086,8.095536317627918,15351.77,15.207048416137695,15351.77,8596.99140625,235676830.0
0.828,934.796937255924,4983.088410024901,61.16690513929239,24.008859057533463,57.53875498047407,11.628425805784998,13158.66,14.879419326782227,13158.66,12413.003125,173150340.0
0.832,940.5896776026274,2261.926126051679,134.75243834680367,18.163455872612147,57.689,14.379122738256987,9649.684,14.22927474975586,9649.684,13290.246875,93116390.0
0.836,945.7462270016346,2563.7611489493115,118.89453667074328,11.191876988970295,57.83669816013076,8.552944182190167,6140.707,12.735540390014648,6140.707,11974.38046875,37708284.0
0.84,950.729610730188,2187.777021030777,139.32597593900746,9.51318442920749,58.026296107301874,5.79993745458579,2631.7305,13.471240997314453,2631.7305,9386.51015625,6926005.5
0.844,954.9140223695543,2152.071226954251,141.7159407577284,10.412280447391147,58.533859776304425,5.6662435791291665,-1315.8672,15.803350448608398,1315.8672,6052.9828125,1731506.5
0.848,959.8512981051521,2654.414371951287,114.9514281555492,10.824473578866156,58.675766341072126,5.251863928474111,-4605.5312,17.506689071655273,4605.5312,2500.14453125,21210918.0
0.852,965.1680207001665,2843.050187054086,107.21217255388181,13.75350297718198,58.5495989649918,6.064482277018034,-5921.3984,21.10120391845703,5921.3984,-614.071875,35062960.0
0.856,970.2869856903809,2788.8358220560476,109.29342040506158,10.44869856903824,58.49782289538814,6.182739713807648,-3508.9766,225.07962036132812,3508.9766,-2544.00859375,12312917.0
0.86,975.350660568477,2507.85525835788,121.6617138742479,10.647678353489578,58.451519817054404,,438.6211,107.58373260498047,438.6211,-2982.63046875,192388.47
0.864,980.6410134444384,2706.9783978226055,112.60290443458283,11.432475076676713,58.66123040333306,,1973.7988,55.43387222290039,1973.7988,-2324.697265625,3895881.8
0.868,985.9022348924034,2430.7588220174994,125.39592813442688,10.657,58.84897765107593,,-1754.4883,25.833026885986328,1754.4883,-1754.488671875,3078229.2
0.872,991.3866241673401,2976.8265144913094,102.39204422339296,12.06965604183584,59.06993630828597,,-9430.375,24.852771759033203,9430.375,-2456.283984375,88931976.0
0.876,996.7496246772652,3346.838651064478,91.21526282912922,12.608504573989949,59.26690992254363,,-16229.016,24.756694793701172,16229.016,-5000.291796875,263380940.0
0.88,1002.1777338386246,2464.137917829469,123.70146064674258,10.246566540344544,59.454777338386215,,-16448.328,224.4432830810547,16448.328,-8377.681640625,270547500.0
0.884,1007.7350157293513,2819.1402047161055,108.19168825575854,10.05970031458701,59.6276498427065,,-8114.508,25.52297019958496,8114.508,-10395.34296875,65845236.0
0.888,1012.8849001365309,2208.364815424508,138.0210048137441,8.840849001365342,59.802490013653426,,4824.84,25.845245361328125,4824.84,-9079.47734375,23279080.0
